timestamp_ms,x,y
14894976,368,300
14895006,368,301
14895006,368,301
14895022,368,301
14895039,368,301
14895039,368,301
14895056,368,301
14895072,367,301
14895089,367,301
14895089,367,301
14895105,365,301
14895105,365,301
14895122.000000002,364,300
14895122.000000002,364,300
14895139.000000002,362,299
14895139.000000002,362,299
14895156,360,297
14895156,360,297
14895172,358,295
14895173,358,295
14895189,357,292
14895189,357,292
14895205,357,289
14895205,357,289
14895222,358,288
14895222,358,288
14895238.000000002,359,286
14895239,359,286
14895255.000000002,360,285
14895255.000000002,360,285
14895272,362,284
14895272,362,284
14895288,364,283
14895288,364,283
14895305,365,283
14895305,365,283
14895322,367,283
14895322,367,283
14895338,369,283
14895338,369,283
14895355,370,283
14895355,370,283
14895372.000000002,371,284
14895372.000000002,371,284
14895388,373,284
14895388,373,284
14895405,374,285
14895405,374,285
14895422,375,286
14895422,375,286
14895438,376,288
14895438,376,288
14895455,377,289
14895455,377,289
14895472,378,290
14895472,378,290
14895488.000000002,379,292
14895488.000000002,379,292
14895505.000000002,380,293
14895505.000000002,380,293
14895522,381,295
14895522,381,295
14895538,382,297
14895538,382,297
14895555,382,299
14895555,382,299
14895571,382,302
14895572,382,302
14895588,382,303
14895588,382,303
14895605,382,306
14895605,382,306
14895621.000000002,382,308
14895622.000000002,382,308
14895638,382,309
14895638,382,309
14895655,381,311
14895655,381,311
14895671,380,313
14895672,380,313
14895688,378,315
14895688,378,315
14895705,377,316
14895705,377,316
14895722,376,317
14895722,376,317
14895738.000000002,374,318
14895738.000000002,374,318
14895755.000000002,372,319
14895755.000000002,372,319
14895772,370,320
14895772,370,320
14895788,368,320
14895788,368,320
14895805,366,320
14895805,366,320
14895821,364,320
14895822,364,320
14895838,361,319
14895838,361,319
14895855,358,317
14895855,358,317
14895872.000000002,356,316
14895872.000000002,356,316
14895888,354,315
14895888,354,315
14895905,351,313
14895905,351,313
14895922,349,311
14895922,349,311
14895938,346,309
14895938,346,309
14895955,344,308
14895955,344,308
14895971,342,306
14895972,342,306
14895988.000000002,340,305
14895988.000000002,340,305
14896005.000000002,338,303
14896005.000000002,338,303
14896021,337,302
14896022,337,302
14896038,336,300
14896038,336,300
14896055,335,298
14896055,335,298
14896071,334,296
14896072,334,296
14896088,333,295
14896088,333,295
14896105,332,292
14896105,332,292
14896122.000000002,331,290
14896122.000000002,331,290
14896138,330,289
14896138,330,289
14896155,330,286
14896155,330,286
14896171,329,284
14896171,329,284
14896188,328,282
14896188,328,282
14896205,327,280
14896205,327,280
14896222,327,277
14896222,327,277
14896238.000000002,327,275
14896238.000000002,327,275
14896255.000000002,327,273
14896255.000000002,327,273
14896271,327,270
14896271,327,270
14896288,328,269
14896288,328,269
14896305,329,268
14896305,329,268
14896322,331,266
14896322,331,266
14896338,332,265
14896338,332,265
14896355,334,263
14896355,334,263
14896371.000000002,337,262
14896371.000000002,337,262
14896388,339,262
14896388,339,262
14896405,341,261
14896405,341,261
14896421,344,260
14896421,344,260
14896438,346,259
14896438,346,259
14896455,349,258
14896455,349,258
14896471,352,258
14896471,352,258
14896488.000000002,355,257
14896488.000000002,355,257
14896505.000000002,357,257
14896505.000000002,357,257
14896521,360,257
14896521,360,257
14896538,363,257
14896538,363,257
14896555,366,257
14896555,366,257
14896571,369,257
14896571,369,257
14896588,371,258
14896588,371,258
14896605,373,259
14896605,373,259
14896621.000000002,375,260
14896621.000000002,375,260
14896638,377,262
14896638,377,262
14896655,379,263
14896655,379,263
14896671,381,264
14896671,381,264
14896688,383,266
14896688,383,266
14896705,384,268
14896705,384,268
14896721,386,270
14896721,386,270
14896738.000000002,388,272
14896738.000000002,388,272
14896755.000000002,390,273
14896755.000000002,390,273
14896772,391,275
14896772,391,275
14896788,393,277
14896788,393,277
14896805,396,280
14896805,396,280
14896821,398,282
14896821,398,282
14896838,400,284
14896838,400,284
14896855,403,286
14896855,403,286
14896871.000000002,404,288
14896871.000000002,404,288
14896888,406,290
14896888,406,290
14896905,408,292
14896905,408,292
14896921,409,293
14896921,409,293
14896938,410,294
14896938,410,294
14896955,411,295
14896955,411,295
14896971,412,297
14896971,412,297
14896988.000000002,413,298
14896988.000000002,413,298
14897005.000000002,414,299
14897005.000000002,414,299
14897021,415,301
14897021,415,301
14897038,416,302
14897038,416,302
14897055,417,303
14897055,417,303
14897071,418,305
14897071,418,305
14897088,419,306
14897088,419,306
14897105,420,308
14897105,420,308
14897121.000000002,420,311
14897121.000000002,420,311
14897138,421,314
14897138,421,314
14897155,421,316
14897155,421,316
14897171,422,319
14897171,422,319
14897188,422,322
14897188,422,322
14897205,422,326
14897205,422,326
14897221,422,329
14897221,422,329
14897238.000000002,422,333
14897238.000000002,422,333
14897255.000000002,422,336
14897255.000000002,422,336
14897271,421,340
14897271,421,340
14897288,419,343
14897288,419,343
14897305,417,346
14897305,417,346
14897321,416,348
14897321,416,348
14897338,413,351
14897338,413,351
14897355,410,353
14897355,410,353
14897371.000000002,407,356
14897371.000000002,407,356
14897388,403,357
14897388,403,357
14897405,399,359
14897405,399,359
14897421,395,361
14897421,395,361
14897438,390,362
14897438,390,362
14897455,385,363
14897455,385,363
14897471,381,364
14897471,381,364
14897488.000000002,376,364
14897488.000000002,376,364
14897505.000000002,371,363
14897505.000000002,371,363
14897521,367,362
14897521,367,362
14897538,363,361
14897538,363,361
14897555,358,360
14897555,358,360
14897571,353,358
14897571,353,358
14897588,349,356
14897588,349,356
14897605,344,354
14897605,344,354
14897621.000000002,340,352
14897621.000000002,340,352
14897638,336,349
14897638,336,349
14897655,332,346
14897655,332,346
14897671,328,341
14897671,328,341
14897688,325,338
14897688,325,338
14897705,323,334
14897705,323,334
14897721,319,329
14897721,319,329
14897738.000000002,316,325
14897738.000000002,316,325
14897755.000000002,313,320
14897755.000000002,313,320
14897771,311,314
14897771,311,314
14897788,309,308
14897788,309,308
14897805,306,302
14897805,306,302
14897821,304,297
14897821,304,297
14897838,302,293
14897838,302,293
14897855,299,287
14897855,299,287
14897871.000000002,297,281
14897871.000000002,297,281
14897888,296,275
14897888,296,275
14897905,295,268
14897905,295,268
14897921,295,262
14897921,295,262
14897938,295,256
14897938,295,256
14897955,296,251
14897955,296,251
14897971,298,245
14897971,298,245
14897988.000000002,300,240
14897988.000000002,300,240
14898005.000000002,303,236
14898005.000000002,303,236
14898021,306,232
14898021,306,232
14898038,309,230
14898038,309,230
14898055,313,228
14898055,313,228
14898071,317,226
14898071,317,226
14898088,322,224
14898088,322,224
14898105,326,223
14898105,326,223
14898121.000000002,331,223
14898121.000000002,331,223
14898138,335,223
14898138,335,223
14898155,340,223
14898155,340,223
14898171,345,223
14898171,345,223
14898188,349,223
14898188,349,223
14898205,352,224
14898205,352,224
14898221,356,225
14898221,356,225
14898238.000000002,360,226
14898238.000000002,360,226
14898255.000000002,363,227
14898255.000000002,363,227
14898271,366,229
14898271,366,229
14898288,370,230
14898288,370,230
14898305,373,232
14898305,373,232
14898321,377,233
14898321,377,233
14898338,379,235
14898338,379,235
14898355,383,236
14898355,383,236
14898371.000000002,385,239
14898371.000000002,385,239
14898388,388,242
14898388,388,242
14898405,391,244
14898405,391,244
14898421,394,247
14898421,394,247
