timestamp_ms,x,y
15143759,365,288
15143773.000000002,364,288
15143789,364,288
15143806,364,288
15143822,364,288
15143839,364,288
15143855,364,288
15143872.000000002,364,288
15143889.000000002,364,288
15143905,364,289
15143905,364,289
15143922,364,289
15143939,365,289
15143939,365,289
15143955,365,290
15143955,365,290
15143972,365,291
15143972,365,291
15143989,365,291
15144006.000000002,365,292
15144006.000000002,365,292
15144022,364,292
15144022,364,292
15144039,363,292
15144039,363,292
15144055,362,292
15144055,362,292
15144072,362,291
15144072,362,291
15144089,362,291
15144105,362,291
15144122.000000002,362,291
15144139.000000002,362,292
15144139.000000002,362,292
15144155,362,293
15144155,362,293
15144172,362,294
15144172,362,294
15144189,361,294
15144205,361,294
15144205,361,294
15144222,360,295
15144222,360,295
15144239,359,295
15144239,359,295
15144255.000000002,358,295
15144272,358,294
15144272,358,294
15144289,358,294
15144305,358,294
15144322,357,294
15144322,357,294
15144338,357,294
15144355,357,294
15144372.000000002,356,295
15144372.000000002,356,295
15144389.000000002,355,295
15144389.000000002,355,295
15144405,353,295
15144405,353,295
15144422,352,296
15144422,352,296
15144438,351,296
15144439,351,296
15144455,351,296
15144472,351,295
15144472,351,295
15144489,352,295
15144489,352,295
15144505.000000002,352,294
15144505.000000002,352,294
15144522,352,294
15144538,351,294
15144538,351,294
15144555,350,294
15144555,350,294
15144572,350,294
15144572,350,294
15144588,349,294
15144588,349,294
15144605,348,294
15144605,348,294
15144622.000000002,347,294
15144639.000000002,347,293
15144639.000000002,347,293
15144655,348,293
15144672,348,292
15144672,348,292
15144688,348,292
15144705,348,291
15144705,348,291
15144722,347,291
15144738.000000002,346,290
15144739,346,290
15144755.000000002,345,289
15144755.000000002,345,289
15144772,344,289
15144772,344,289
15144789,343,289
15144805,343,289
15144822,344,289
15144838,344,289
15144839,344,289
15144855,345,289
15144855,345,289
15144872.000000002,346,289
15144888,346,288
15144889.000000002,346,288
15144905,346,287
15144905,346,287
15144922,345,287
15144938,344,285
15144938,344,285
15144955,343,285
15144955,343,285
15144972,342,284
15144972,342,284
15144988.000000002,342,283
15144988.000000002,342,283
15145005.000000002,342,283
15145022,342,283
15145022,342,283
15145038,343,282
15145039,343,282
15145055,343,282
15145055,343,282
15145072,343,281
15145072,343,281
15145088,343,280
15145089,343,280
15145105,342,279
15145105,342,279
15145122.000000002,341,277
15145122.000000002,341,277
15145138,340,276
15145138,340,276
15145155,340,276
15145172,339,275
15145172,339,275
15145188,340,275
15145188,340,275
15145205,341,275
15145205,341,275
15145222,342,275
15145222,342,275
15145238.000000002,343,275
15145255.000000002,343,275
15145255.000000002,343,275
