timestamp_ms,x,y
15916242,357,269
15916252,357,269
15916255.000000002,357,270
15916255.000000002,357,270
15916272,357,270
15916288,357,270
15916305,357,270
15916322,357,270
15916338,357,270
15916355,357,270
15916371.000000002,357,270
15916388,357,270
15916405,357,270
15916422,358,270
15916422,358,270
15916438,358,269
15916438,358,269
15916455,359,269
15916455,359,269
15916472,360,269
15916472,360,269
15916488.000000002,361,268
15916488.000000002,361,268
15916505.000000002,362,267
15916505.000000002,362,267
15916522,363,266
15916522,363,266
15916538,364,265
15916538,364,265
15916555,364,264
15916555,364,264
15916572,365,263
15916572,365,263
15916588,365,262
15916588,365,262
15916605,365,262
15916605,365,262
15916621.000000002,365,261
15916622.000000002,365,261
15916638,365,260
15916638,365,260
15916655,365,259
15916671,365,258
15916672,365,258
15916688,365,257
15916688,365,257
15916705,365,256
15916705,365,256
15916721,365,256
15916722,365,256
15916738.000000002,365,255
15916738.000000002,365,255
15916755.000000002,365,254
15916772,365,253
15916772,365,253
15916788,365,252
15916788,365,252
15916805,365,252
15916822,365,251
15916822,365,251
15916838,364,250
15916838,364,250
15916855,364,249
15916855,364,249
15916871.000000002,364,249
15916872.000000002,364,249
15916888,364,248
15916888,364,248
15916905,363,247
15916905,363,247
15916922,363,247
15916922,363,247
15916938,362,246
15916938,362,246
15916955,362,245
15916955,362,245
15916971,361,245
15916988.000000002,360,244
15916988.000000002,360,244
15917004,359,243
15917004,359,243
15917021,359,243
15917021,359,243
15917038,357,242
15917038,357,242
15917055,356,242
15917055,356,242
15917071,355,241
15917071,355,241
15917088,354,240
15917088,354,240
15917105,352,240
15917105,352,240
15917121.000000002,351,240
15917122.000000002,351,240
15917138,350,239
15917138,350,239
15917155,350,239
15917171,349,239
15917171,349,239
15917188,348,239
15917188,348,239
15917205,347,239
15917205,347,239
15917221,346,238
15917222,346,238
15917238.000000002,345,238
15917238.000000002,345,238
15917255.000000002,344,238
15917255.000000002,344,238
15917271,344,238
15917272,344,238
15917288,343,238
15917288,343,238
15917305,341,238
15917305,341,238
15917321,340,238
15917321,340,238
15917338,339,238
15917338,339,238
15917355,338,238
15917355,338,238
15917371.000000002,337,239
15917371.000000002,337,239
15917388,335,239
15917388,335,239
15917405,333,240
15917405,333,240
15917421,332,241
15917422,332,241
15917438,331,241
15917438,331,241
15917455,329,242
15917455,329,242
15917471,328,242
15917471,328,242
15917488.000000002,327,243
15917488.000000002,327,243
15917505.000000002,326,243
15917505.000000002,326,243
15917522,325,244
15917522,325,244
15917538,324,244
15917538,324,244
15917554,323,245
15917554,323,245
15917571,322,245
15917572,322,245
15917588,321,246
15917588,321,246
15917605,321,247
15917605,321,247
15917621.000000002,320,248
15917621.000000002,320,248
15917638,319,249
15917638,319,249
15917655,318,250
15917655,318,250
15917671,317,251
15917671,317,251
15917688,317,252
15917688,317,252
15917705,316,253
15917705,316,253
15917721,315,254
15917721,315,254
15917738.000000002,314,256
15917738.000000002,314,256
15917755.000000002,313,256
15917755.000000002,313,256
15917771,312,258
15917771,312,258
15917788,311,259
15917788,311,259
15917805,311,261
15917805,311,261
15917821,310,262
15917822,310,262
15917838,310,263
15917838,310,263
15917855,309,264
15917855,309,264
15917871.000000002,309,265
15917871.000000002,309,265
15917888,309,266
15917905,308,267
15917905,308,267
15917921,308,269
15917921,308,269
15917938,308,270
15917938,308,270
15917955,307,271
15917955,307,271
15917972,306,273
15917972,306,273
15917988.000000002,306,274
15917988.000000002,306,274
15918005.000000002,306,276
15918005.000000002,306,276
15918021,306,277
15918022,306,277
15918038,305,279
15918038,305,279
15918055,305,281
15918055,305,281
15918071,305,282
15918071,305,282
15918088,305,284
15918088,305,284
15918105,305,286
15918105,305,286
15918121.000000002,305,287
15918122.000000002,305,287
15918138,305,289
15918138,305,289
15918155,306,289
15918155,306,289
15918171,306,291
15918171,306,291
15918188,306,292
15918188,306,292
15918205,307,293
15918205,307,293
15918221,307,295
15918221,307,295
15918238.000000002,307,296
15918238.000000002,307,296
15918255.000000002,307,297
15918255.000000002,307,297
15918271,308,298
15918271,308,298
15918288,308,300
15918288,308,300
15918305,308,301
15918305,308,301
15918321,308,302
15918322,308,302
15918338,309,304
15918338,309,304
15918355,309,305
15918355,309,305
15918371.000000002,310,306
15918371.000000002,310,306
15918388,311,308
15918388,311,308
15918405,311,308
15918405,311,308
15918421,312,310
15918421,312,310
15918438,313,312
15918438,313,312
15918455,314,314
15918455,314,314
15918471,315,315
15918471,315,315
15918488.000000002,316,317
