timestamp_ms,x,y
15524567,386,240
15524581,386,240
15524581,386,240
15524598,386,240
15524614,386,240
15524631.000000002,386,240
15524648.000000002,386,240
15524664,386,241
15524664,386,241
15524681,387,242
15524681,387,242
15524697,387,243
15524698,387,243
15524714,387,244
15524714,387,244
15524731,387,246
15524731,387,246
15524747.000000002,387,247
15524748,387,247
15524764.000000002,387,248
15524781,386,249
15524781,386,249
15524797,385,249
15524798,385,249
15524814,384,249
15524814,384,249
15524831,382,249
15524831,382,249
15524848,381,248
15524848,381,248
15524864,380,247
15524864,380,247
15524881.000000002,378,246
15524881.000000002,378,246
15524897,378,245
15524897,378,245
15524914,377,244
15524914,377,244
15524931,377,243
15524931,377,243
15524948,377,241
15524948,377,241
15524964,377,239
15524964,377,239
15524981,377,238
15524981,377,238
15524997.000000002,377,236
15524998,377,236
15525014.000000002,378,235
15525014.000000002,378,235
15525031,378,234
15525031,378,234
15525047,378,233
15525047,378,233
15525064,379,232
15525064,379,232
15525081,380,231
15525081,380,231
15525097,381,230
15525097,381,230
15525114,382,230
15525114,382,230
15525131.000000002,383,230
15525131.000000002,383,230
15525147,383,230
15525147,383,230
15525164,384,230
15525164,384,230
15525181,385,229
15525181,385,229
15525197,387,229
15525197,387,229
15525214,388,229
15525214,388,229
15525231,389,229
15525231,389,229
15525248,390,229
15525248,390,229
15525264.000000002,390,230
15525264.000000002,390,230
15525281,391,231
15525281,391,231
15525297,392,232
15525297,392,232
15525314,392,233
15525314,392,233
15525331,393,234
15525331,393,234
15525347,394,235
15525348,394,235
15525364,394,236
15525364,394,236
15525381.000000002,395,237
15525381.000000002,395,237
15525397,395,238
15525398.000000002,395,238
15525414,395,240
15525414,395,240
15525431,396,241
15525431,396,241
15525447,396,242
15525447,396,242
15525464,396,243
15525464,396,243
15525481,396,244
15525481,396,244
15525497.000000002,396,245
15525497.000000002,396,245
15525514.000000002,396,247
15525514.000000002,396,247
15525531,396,248
15525531,396,248
15525548,395,249
15525548,395,249
15525564,395,250
15525564,395,250
15525581,395,252
15525581,395,252
15525598,395,253
15525598,395,253
15525614,395,255
15525614,395,255
15525631.000000002,394,256
15525631.000000002,394,256
15525647,394,257
15525647,394,257
15525664,393,259
15525664,393,259
15525681,392,260
15525681,392,260
15525697,392,262
15525697,392,262
15525714,390,262
15525714,390,262
15525731,390,264
15525731,390,264
15525747.000000002,389,265
15525747.000000002,389,265
15525764.000000002,387,266
15525764.000000002,387,266
15525781,386,266
15525781,386,266
15525797,384,266
15525797,384,266
15525814,382,267
15525814,382,267
15525831,381,267
15525831,381,267
15525847,380,266
15525847,380,266
15525864,379,265
15525864,379,265
15525881.000000002,378,264
15525881.000000002,378,264
15525897,377,263
15525897,377,263
15525914,376,261
15525914,376,261
15525931,375,259
15525931,375,259
15525947,374,257
15525947,374,257
15525964,373,255
15525964,373,255
15525981,373,253
15525981,373,253
15525997.000000002,373,250
15525997.000000002,373,250
15526014.000000002,373,248
15526014.000000002,373,248
15526031,373,246
15526031,373,246
15526047,373,243
15526047,373,243
15526064,372,241
15526064,372,241
15526081,372,239
15526081,372,239
15526097,372,236
15526097,372,236
15526114,372,234
15526114,372,234
15526131.000000002,372,231
15526131.000000002,372,231
15526148.000000002,372,229
15526148.000000002,372,229
15526164,372,226
15526164,372,226
15526181,372,223
15526181,372,223
15526197,372,221
15526197,372,221
15526214,373,218
15526214,373,218
15526231,374,216
15526231,374,216
15526247.000000002,375,213
15526247.000000002,375,213
15526264.000000002,376,210
15526264.000000002,376,210
15526281,377,208
15526281,377,208
15526297,378,206
15526297,378,206
15526314,378,204
15526314,378,204
15526331,380,203
15526331,380,203
15526347,381,200
15526347,381,200
15526364,383,197
15526364,383,197
15526381.000000002,384,196
15526381.000000002,384,196
15526397,386,195
15526397,386,195
15526414,387,194
15526414,387,194
15526431,389,193
15526431,389,193
15526447,391,193
15526447,391,193
15526464,393,193
15526464,393,193
15526481,394,193
15526481,394,193
15526497.000000002,396,193
15526497.000000002,396,193
15526514.000000002,397,194
15526514.000000002,397,194
15526531,398,196
15526531,398,196
15526547,400,197
15526547,400,197
15526564,401,200
15526564,401,200
15526581,402,202
15526581,402,202
15526597,403,204
15526597,403,204
15526614,403,208
15526614,403,208
15526631.000000002,403,210
15526631.000000002,403,210
15526647,404,212
15526647,404,212
15526664,404,215
15526664,404,215
15526681,404,217
15526681,404,217
15526697,405,220
15526697,405,220
15526714,405,222
15526714,405,222
15526731,405,224
15526731,405,224
15526747.000000002,405,226
15526747.000000002,405,226
15526764.000000002,404,229
15526764.000000002,404,229
15526781,404,230
15526781,404,230
15526797,404,232
15526797,404,232
15526814,404,235
15526814,404,235
15526831,404,236
15526831,404,236
15526847,404,239
15526847,404,239
15526864,404,241
15526864,404,241
15526881.000000002,404,243
15526881.000000002,404,243
15526897,404,245
15526897,404,245
15526914,403,247
15526914,403,247
15526931,403,249
15526931,403,249
15526947,403,251
15526947,403,251
15526964,403,254
15526964,403,254
15526981,403,256
15526981,403,256
15526997.000000002,402,258
15526997.000000002,402,258
15527014.000000002,402,261
15527014.000000002,402,261
15527031,402,263
15527031,402,263
15527047,401,265
15527047,401,265
15527064,401,268
15527064,401,268
15527081,400,270
15527081,400,270
15527097,399,273
15527097,399,273
15527114,399,276
15527114,399,276
15527131.000000002,398,278
15527131.000000002,398,278
15527147,397,280
15527147,397,280
15527164,396,283
15527164,396,283
15527181,395,286
15527181,395,286
15527197,394,288
15527197,394,288
15527214,393,290
15527214,393,290
15527231,391,293
15527231,391,293
15527247.000000002,390,295
15527247.000000002,390,295
15527264.000000002,387,298
15527264.000000002,387,298
15527281,385,299
15527281,385,299
15527297,383,301
15527297,383,301
15527314,381,302
15527314,381,302
15527331,378,303
15527331,378,303
15527347,376,305
15527347,376,305
15527364,373,306
15527364,373,306
15527381.000000002,370,306
15527381.000000002,370,306
15527397,369,306
15527397,369,306
15527414,367,305
15527414,367,305
15527431,365,304
15527431,365,304
15527447,364,301
15527447,364,301
15527464,362,298
15527464,362,298
15527481,362,294
15527481,362,294
15527497.000000002,361,290
15527497.000000002,361,290
15527514.000000002,360,286
15527514.000000002,360,286
15527530,360,282
15527531,360,282
15527547,359,278
15527547,359,278
15527564,359,274
15527564,359,274
15527581,359,270
15527581,359,270
15527597,359,266
15527597,359,266
15527614,359,262
15527614,359,262
15527630.000000002,359,258
15527630.000000002,359,258
15527647,359,254
15527647,359,254
15527664,360,249
15527664,360,249
15527681,360,244
15527681,360,244
15527697,360,242
15527697,360,242
15527713,360,239
15527714,360,239
15527731,361,236
15527731,361,236
15527747.000000002,361,233
15527747.000000002,361,233
15527764.000000002,362,229
15527764.000000002,362,229
15527780,362,226
15527781,362,226
15527797,363,223
15527797,363,223
15527814,363,221
15527814,363,221
15527830,364,219
15527831,364,219
15527847,364,216
15527847,364,216
15527864,365,213
15527864,365,213
15527880.000000002,366,210
15527881.000000002,366,210
15527897,367,207
15527897,367,207
15527914,368,205
15527914,368,205
15527931,368,203
15527931,368,203
15527947,369,202
15527947,369,202
15527964,370,200
15527964,370,200
15527980,370,197
15527980,370,197
15527997.000000002,372,195
15527997.000000002,372,195
15528014.000000002,373,193
15528014.000000002,373,193
15528030,374,191
15528030,374,191
15528047,375,190
15528047,375,190
15528064,377,188
15528064,377,188
15528081,378,186
15528081,378,186
15528097,380,184
15528097,380,184
15528114,383,182
15528114,383,182
15528130.000000002,384,180
15528131.000000002,384,180
15528147,387,178
15528147,387,178
15528164,389,177
15528164,389,177
15528180,390,176
15528180,390,176
15528197,392,175
15528197,392,175
15528214,394,174
15528214,394,174
15528231,396,174
15528231,396,174
15528247.000000002,398,174
15528247.000000002,398,174
15528264.000000002,400,174
15528264.000000002,400,174
15528280,402,174
15528280,402,174
15528297,403,174
15528297,403,174
15528314,405,175
15528314,405,175
15528330,406,176
15528330,406,176
15528347,408,177
15528347,408,177
15528364,409,179
15528364,409,179
15528380.000000002,409,180
15528381.000000002,409,180
15528397,410,182
15528397,410,182
15528414,411,184
15528414,411,184
15528430,412,186
15528430,412,186
15528447,413,189
15528447,413,189
15528464,413,192
15528464,413,192
15528480,414,195
15528481,414,195
15528497.000000002,414,197
15528497.000000002,414,197
15528514.000000002,415,201
15528514.000000002,415,201
15528530,415,203
15528530,415,203
15528547,415,206
15528547,415,206
15528564,416,209
15528564,416,209
15528580,416,212
15528581,416,212
15528597,416,215
15528597,416,215
15528614,416,218
15528614,416,218
15528631.000000002,416,221
15528631.000000002,416,221
15528647,416,223
15528647,416,223
15528664,416,226
15528664,416,226
15528680,416,229
15528681,416,229
15528697,416,232
15528697,416,232
15528714,416,235
15528714,416,235
15528730,416,238
15528731,416,238
15528747.000000002,416,241
15528747.000000002,416,241
15528764.000000002,415,244
