timestamp_ms,x,y
211669,410,322
211682.00000000003,410,322
211699,410,322
211716,410,322
211716,410,322
211732,410,322
211749,410,322
211766,410,322
211782,410,322
211799,410,322
211816,410,322
211832,410,322
211849.00000000003,410,322
211866,410,322
211882,410,321
211883,410,321
211899,410,321
211916,410,321
211932.00000000003,410,320
211932.00000000003,410,320
211949,410,320
211966,410,319
211966,410,319
211982,410,319
211999,410,318
211999,410,318
212016,409,318
212016,409,318
212032,409,318
212049,409,318
212066,408,317
212066,408,317
212082,408,317
212099.00000000003,407,317
212099.00000000003,407,317
212116,406,317
212116,406,317
212132,406,317
212149,405,318
212149,405,318
212166,405,318
212166,405,318
212182.00000000003,404,319
212182.00000000003,404,319
212199,404,320
212199,404,320
212216,403,320
212232,403,321
212232,403,321
212249,403,322
212249,403,322
212266,403,322
212282,403,323
212282,403,323
212299,403,324
212299,403,324
212316,403,324
212332,403,325
212332,403,325
212349.00000000003,402,326
212349.00000000003,402,326
212365,402,327
212365,402,327
212382,402,327
212399,402,328
212399,402,328
212415,402,328
212432.00000000003,403,329
212432.00000000003,403,329
212448,403,329
212465,403,330
212465,403,330
212482,403,331
212482,403,331
212498,403,331
212498,403,331
212515.00000000003,404,332
212515.00000000003,404,332
212532,404,332
212532,404,332
212548,405,333
212548,405,333
212565,405,333
212565,405,333
212582,406,333
212598,407,334
212598,407,334
212615,407,334
212632,408,334
212632,408,334
212648,408,334
212665,409,334
212665,409,334
212682.00000000003,410,334
212682.00000000003,410,334
212698,410,334
212715,411,334
212715,411,334
212732,411,334
212732,411,334
212748,412,334
212765.00000000003,413,334
212765.00000000003,413,334
212782,414,334
212782,414,334
212798,415,334
212798,415,334
212815,416,334
212815,416,334
212832,416,334
212832,416,334
212848,417,334
212848,417,334
212865,418,333
212865,418,333
212882,419,333
212898,420,333
212898,420,333
212915,421,332
212915,421,332
212932.00000000003,422,332
212932.00000000003,422,332
212948,423,331
212948,423,331
212965,423,330
212965,423,330
212982,424,330
212998,424,329
212998,424,329
213015.00000000003,425,328
213015.00000000003,425,328
213032,426,328
213048,426,327
213048,426,327
213065,426,325
213065,426,325
213082,427,324
213082,427,324
213098,427,323
213098,427,323
213115,427,322
213115,427,322
213132,427,321
213132,427,321
213148,427,320
213148,427,320
213165,427,319
213165,427,319
213182.00000000003,426,318
213182.00000000003,426,318
213198,426,317
213198,426,317
213215,426,316
213215,426,316
213232,425,315
213232,425,315
213248,425,315
213265.00000000003,425,314
213265.00000000003,425,314
213282,424,313
213282,424,313
213298,424,313
213298,424,313
213315,423,312
213315,423,312
213332,423,312
213348,423,311
213348,423,311
213365,422,311
213365,422,311
213382,422,311
213398,421,311
213398,421,311
213415,420,310
213415,420,310
213432.00000000003,420,310
213448,419,310
213448,419,310
213465,418,310
213482,417,310
213482,417,310
213498,417,310
213498,417,310
213515.00000000003,416,310
213532,416,310
213532,416,310
213548,415,310
213548,415,310
213565,414,310
213565,414,310
213582,413,310
213582,413,310
213598,412,310
213615,411,310
213615,411,310
213632,411,311
213632,411,311
213648,410,311
213648,410,311
213665,409,311
213665,409,311
213682.00000000003,409,312
213682.00000000003,409,312
213698,408,312
213698,408,312
213715,407,312
213715,407,312
213732,406,313
213732,406,313
213748,405,313
213765.00000000003,405,314
213765.00000000003,405,314
213782,404,314
213782,404,314
213798,403,315
213798,403,315
213815,403,315
213815,403,315
213832,403,315
213848,402,316
213848,402,316
213865,401,317
213865,401,317
213882,401,318
213882,401,318
213898,401,319
213898,401,319
213915,400,320
213915,400,320
213932.00000000003,400,321
213932.00000000003,400,321
213948,400,322
213948,400,322
213965,399,323
213965,399,323
213982,399,324
213982,399,324
213998,399,325
213998,399,325
214015.00000000003,398,326
214015.00000000003,398,326
214032,398,327
214032,398,327
214048,398,328
214048,398,328
214065,397,328
214082,397,330
214082,397,330
214098,397,331
214098,397,331
214115,397,332
214115,397,332
214132,397,333
214132,397,333
214148,397,334
214148,397,334
214165,397,335
214165,397,335
214181,397,336
214182.00000000003,397,336
214198,397,337
214198,397,337
214215,397,338
214215,397,338
214231,397,339
214232,397,339
214248,397,340
214248,397,340
214265.00000000003,398,341
214265.00000000003,398,341
214282,398,341
214298,398,342
214298,398,342
214315,398,342
214331.00000000003,399,343
214332,399,343
214348,399,344
214348,399,344
214365,399,344
214365,399,344
214381,400,345
214382,400,345
214398,400,345
214415,401,346
214415,401,346
214432.00000000003,402,346
214432.00000000003,402,346
214448,403,346
214448,403,346
214465,403,347
214465,403,347
214481,403,347
214482,403,347
214498,404,348
214498,404,348
214515.00000000003,405,348
214532,406,348
214532,406,348
214548,407,348
214548,407,348
214565,408,348
214565,408,348
214581.00000000003,408,348
214598,409,349
214598,409,349
214615,410,349
214615,410,349
214631,411,349
214631,411,349
214648,411,349
214648,411,349
214665,412,349
214665,412,349
214682.00000000003,413,349
214698,414,349
214698,414,349
214715,415,349
214715,415,349
214731,416,349
214731,416,349
214748,417,348
214748,417,348
214765.00000000003,418,348
214765.00000000003,418,348
214781,419,348
214782,419,348
214798,419,348
214815,420,347
214815,420,347
214832,421,347
214832,421,347
214848,422,347
214848,422,347
214865,423,346
214865,423,346
214881,423,346
214881,423,346
214898,424,345
214898,424,345
214915,425,345
214932.00000000003,426,344
214932.00000000003,426,344
214948,427,344
214948,427,344
214965,428,343
214965,428,343
214982,429,342
214982,429,342
214998,430,341
214998,430,341
215015.00000000003,431,341
215015.00000000003,431,341
215031,432,340
215032,432,340
215048,432,340
215048,432,340
215065,433,339
215065,433,339
215081.00000000003,434,338
215082,434,338
215098,435,337
215098,435,337
215115,436,336
215115,436,336
215131,436,335
215132,436,335
215148,437,335
215148,437,335
215165,437,334
215165,437,334
215181,438,333
215182.00000000003,438,333
215198,438,332
215198,438,332
215215,439,331
215215,439,331
215231,439,330
215231,439,330
215248,439,330
215265.00000000003,440,329
215265.00000000003,440,329
215281,440,328
215281,440,328
215298,440,327
215298,440,327
215315,440,326
215315,440,326
215331.00000000003,441,325
215331.00000000003,441,325
215348,441,324
215348,441,324
215365,441,324
215381,441,323
215381,441,323
215398,441,322
215398,441,322
215415,441,321
215415,441,321
215431,441,320
215431,441,320
215448,441,320
215465,441,319
215465,441,319
215481,441,318
215481,441,318
215498,441,317
215498,441,317
215515.00000000003,441,316
215515.00000000003,441,316
215531,441,315
215531,441,315
215548,441,314
215548,441,314
215565,441,314
215581.00000000003,441,313
215581.00000000003,441,313
215598,441,312
215598,441,312
215615,440,311
215615,440,311
215631,440,310
215631,440,310
215648,440,309
215648,440,309
215665,440,308
215665,440,308
215681,440,308
215698,439,307
215698,439,307
215715,439,307
215731,438,306
215732,438,306
215748,438,305
215748,438,305
215765.00000000003,437,305
215781,437,304
215781,437,304
215798,436,303
215798,436,303
215815,436,303
215815,436,303
215831.00000000003,435,303
215831.00000000003,435,303
215848,434,302
215848,434,302
215865,434,302
215881,433,302
215881,433,302
215898,432,302
215915,432,302
215915,432,302
215931,431,302
215931,431,302
215948,430,301
215948,430,301
215965,429,301
215965,429,301
215981,429,301
215981,429,301
215998,428,301
215998,428,301
216015.00000000003,427,301
216015.00000000003,427,301
216031,426,301
216031,426,301
216048,425,301
216048,425,301
216065,424,301
216065,424,301
216081.00000000003,423,301
216081.00000000003,423,301
216098,422,301
216098,422,301
216115,421,301
216115,421,301
216131,420,302
216131,420,302
216148,419,302
216148,419,302
216165,418,302
216181,417,303
216181,417,303
216198,416,303
216198,416,303
216215,415,303
216215,415,303
216231,414,304
216231,414,304
216248,413,304
216248,413,304
216265.00000000003,412,305
216265.00000000003,412,305
216281,411,305
216281,411,305
216298,410,305
216298,410,305
216315,409,306
216315,409,306
216331.00000000003,408,306
216331.00000000003,408,306
216348,407,307
216348,407,307
216365,406,307
216365,406,307
216381,405,308
216381,405,308
216398,404,309
216398,404,309
216415,403,310
216415,403,310
216431,402,311
216431,402,311
216448,401,312
216448,401,312
216465,401,312
216481,400,313
216481,400,313
216498,399,315
216498,399,315
216515.00000000003,399,315
216515.00000000003,399,315
216531,398,316
216531,398,316
216548,398,317
216548,398,317
216565,397,319
216565,397,319
216581.00000000003,397,320
216581.00000000003,397,320
216598,397,321
216598,397,321
216615,397,322
216615,397,322
216631,396,323
216631,396,323
216648,396,324
216648,396,324
216665,396,325
216665,396,325
216681,395,327
216681,395,327
216698,395,328
216698,395,328
216715,395,328
216731,395,330
216731,395,330
216748,394,331
216748,394,331
216765.00000000003,394,332
216765.00000000003,394,332
216781,394,334
216781,394,334
216798,394,335
216798,394,335
216815,393,336
216815,393,336
216831.00000000003,393,337
216831.00000000003,393,337
216848,393,338
216848,393,338
216865,393,339
216865,393,339
216881,393,340
216881,393,340
216898,393,341
216898,393,341
216915,393,342
216915,393,342
216931,393,343
216931,393,343
216948,393,344
216948,393,344
216965,393,345
216965,393,345
216981,393,347
216981,393,347
216998,394,348
216998,394,348
217015.00000000003,394,349
217015.00000000003,394,349
217031,394,350
217031,394,350
217048,394,351
217048,394,351
217065,395,352
217065,395,352
217081.00000000003,395,353
217081.00000000003,395,353
217098,396,354
217098,396,354
217115,396,355
217115,396,355
217131,397,355
217131,397,355
217148,397,356
217148,397,356
217165,397,357
217165,397,357
217181,398,358
217181,398,358
217198,398,359
217198,398,359
217215,399,360
217215,399,360
217231,399,360
217231,399,360
217248,400,361
217248,400,361
217265.00000000003,400,361
217281,401,362
217281,401,362
217298,402,362
217298,402,362
217315,402,362
217331.00000000003,403,363
217331.00000000003,403,363
217348,403,363
217348,403,363
217365,404,363
217381,405,364
217381,405,364
217398,406,364
217398,406,364
217415,407,364
217415,407,364
217431,408,365
217431,408,365
217448,409,365
217448,409,365
217465,410,365
217465,410,365
217481,410,365
217498,411,365
217498,411,365
217515.00000000003,412,365
217515.00000000003,412,365
217531,412,365
217531,412,365
217548,413,365
217565,414,365
217565,414,365
217581.00000000003,415,365
217581.00000000003,415,365
217598,416,364
217598,416,364
217615,416,364
217615,416,364
217631,417,364
217631,417,364
217648,419,364
217648,419,364
217665,419,363
217665,419,363
217681,420,363
217681,420,363
217698,421,363
217698,421,363
217715,422,363
217715,422,363
217731,423,363
217731,423,363
217748,424,363
217748,424,363
217765.00000000003,424,362
217765.00000000003,424,362
217781,425,362
217781,425,362
217798,426,362
217815,427,361
217815,427,361
217831.00000000003,428,361
217831.00000000003,428,361
217848,429,361
217848,429,361
217865,429,361
217865,429,361
217881,430,360
217881,430,360
217898,431,360
217898,431,360
217915,432,359
217915,432,359
217931,433,359
217948,434,358
217948,434,358
217965,435,358
217965,435,358
217981,436,357
217981,436,357
217998,436,357
217998,436,357
218015.00000000003,437,357
218015.00000000003,437,357
218031,438,356
218031,438,356
218048,439,355
218048,439,355
218065,440,355
218065,440,355
218081.00000000003,441,354
218081.00000000003,441,354
218098,442,354
218098,442,354
218115,442,353
218115,442,353
218131,443,352
218131,443,352
218148,444,351
218148,444,351
218165,445,350
218165,445,350
218181,446,349
218181,446,349
218198,446,348
218198,446,348
218215,447,348
218215,447,348
218231,448,347
218231,448,347
218248,448,346
218248,448,346
218265.00000000003,449,345
218265.00000000003,449,345
218281,449,344
218281,449,344
218298,450,343
218298,450,343
218315,450,342
218315,450,342
218331.00000000003,451,341
218331.00000000003,451,341
218348,451,340
218348,451,340
218365,452,339
218365,452,339
218381,452,338
218381,452,338
218398,453,337
218398,453,337
218415,453,335
218415,453,335
218431,454,335
218431,454,335
218448,454,334
218448,454,334
218465,455,333
218465,455,333
218481,455,332
218481,455,332
218498,456,330
218498,456,330
218515.00000000003,456,329
218515.00000000003,456,329
218531,456,328
218531,456,328
218548,456,328
218548,456,328
218565,456,327
218565,456,327
218581.00000000003,457,325
218581.00000000003,457,325
218598,457,324
218598,457,324
218615,457,323
218615,457,323
218631,457,322
218631,457,322
218648,457,321
218648,457,321
218665,457,321
218681,457,320
218681,457,320
218698,457,319
218698,457,319
218715,457,318
218715,457,318
218731,457,317
218731,457,317
218748,457,316
218748,457,316
218764,458,315
218764,458,315
218781,458,314
218781,458,314
218798,458,313
218798,458,313
218815,458,312
218815,458,312
218831.00000000003,458,311
218831.00000000003,458,311
218848,458,310
218848,458,310
218865,458,309
218865,458,309
218881,458,309
218898,458,308
218898,458,308
218915,458,307
218915,458,307
218931,457,306
218931,457,306
218948,457,305
218948,457,305
218965,457,304
218965,457,304
218981,457,303
218981,457,303
218998,457,303
219015.00000000003,456,302
219015.00000000003,456,302
219031,456,302
219031,456,302
219048,456,301
219048,456,301
219065,456,300
219065,456,300
219081.00000000003,455,299
219081.00000000003,455,299
219098,455,298
219098,455,298
219114,454,298
219114,454,298
219131,453,297
219131,453,297
219148,453,296
219148,453,296
219165,452,296
219165,452,296
219181,451,295
219181,451,295
219198,450,295
219198,450,295
219215,450,294
219215,450,294
219231,449,293
219231,449,293
219248,448,293
219248,448,293
219265.00000000003,448,293
219281,446,292
219281,446,292
219298,445,292
219315,444,292
219315,444,292
219331.00000000003,443,291
219331.00000000003,443,291
219348,442,291
219348,442,291
219365,440,291
219365,440,291
219381,439,291
219381,439,291
219398,438,291
219398,438,291
219415,436,291
219415,436,291
219431,435,291
219431,435,291
219448,433,291
219448,433,291
219464,432,292
219465,432,292
219481,430,292
219481,430,292
219498,429,292
219498,429,292
219515.00000000003,427,293
219515.00000000003,427,293
219531,426,293
219531,426,293
219548,424,294
219548,424,294
219564,423,294
219565,423,294
219581.00000000003,421,295
219581.00000000003,421,295
219598,418,295
219598,418,295
219615,417,295
219615,417,295
219631,415,296
219631,415,296
219648,413,296
219648,413,296
