timestamp_ms,x,y
67078,409,322
67092,409,322
67109,409,322
67125,409,322
67142,409,322
67159,409,322
67175,409,322
67191,409,322
67208,409,322
67225,409,322
67242,409,322
67259,409,322
67275,409,322
67292,409,322
67309,409,322
67325,409,321
67325,409,321
67342,409,321
67359,409,321
67375,409,321
67392,409,320
67392,409,320
67409,408,320
67409,408,320
67425,408,320
67442,408,320
67458,408,320
67475,407,320
67475,407,320
67492,407,320
67509,407,320
67525,407,320
67542,406,320
67542,406,320
67559,406,320
67575,406,320
67591.00000000001,405,320
67608,405,320
67608,405,320
67625,405,320
67641,404,320
67658,404,320
67675,404,320
67675,404,320
67692,404,320
67708,403,321
67708,403,321
67725,403,321
67741,403,321
67741,403,321
67758,403,322
67758,403,322
67775,403,322
67791,403,322
67808,403,323
67808,403,323
67825,403,324
67825,403,324
67841.00000000001,403,324
67858,402,325
67858,402,325
67875,402,325
67891,402,326
67891,402,326
67908,402,326
67925,402,327
67925,402,327
67941,402,327
67958,402,328
67958,402,328
67975,402,328
67991,402,328
68008,402,328
68024,402,328
68041,402,329
68041,402,329
68058,402,329
68075,402,329
68091.00000000001,402,329
68108,403,330
68108,403,330
68124,403,330
68141,403,330
68158,403,331
68158,403,331
68175,403,331
68191,403,332
68191,403,332
68208,403,332
68224,403,332
68224,403,332
68241,403,333
68241,403,333
68258,403,333
68274,404,334
68274,404,334
68291,404,334
68308,404,334
68308,404,334
68324,404,335
68324,404,335
68341.00000000001,405,335
68358,405,335
68358,405,335
68374,406,335
68391,406,335
68408,407,335
68408,407,335
68424,407,335
68441,408,335
68441,408,335
68458,409,335
68458,409,335
68474,409,335
68491,410,335
68491,410,335
68508,410,335
68524,410,335
68524,410,335
68541,411,335
68558,411,335
68558,411,335
68574,412,335
68591.00000000001,412,335
68591.00000000001,412,335
68608,413,335
68624,413,334
68624,413,334
68641,414,334
68641,414,334
68658,414,334
68674,415,334
68674,415,334
68691,416,333
68691,416,333
68708,416,333
68724,416,333
68724,416,333
68741,417,332
68741,417,332
68758,417,332
68758,417,332
68774,418,331
68774,418,331
68791,418,331
68791,418,331
68808,419,330
68808,419,330
68824,419,329
68824,419,329
68841.00000000001,420,329
68841.00000000001,420,329
68858,420,328
68858,420,328
68874,421,328
68874,421,328
68891,421,327
68891,421,327
68908,421,327
68924,422,326
68924,422,326
68941,422,325
68941,422,325
68958,423,325
68958,423,325
68974,423,324
68974,423,324
68991,423,323
68991,423,323
69008,423,323
69008,423,323
69024,423,322
69024,423,322
69041,423,322
69058,423,321
69058,423,321
69074,423,320
69074,423,320
69091.00000000001,423,319
69091.00000000001,423,319
69108,423,319
69124,423,318
69124,423,318
69141,423,318
69158,423,317
69158,423,317
69174,423,316
69174,423,316
69191,423,316
69208,423,315
69208,423,315
69224,423,315
69241,423,314
69241,423,314
69258,423,314
69274,423,313
69274,423,313
69291,422,313
69291,422,313
69308,422,312
69308,422,312
69324,421,312
69324,421,312
69341.00000000001,421,311
69341.00000000001,421,311
69358,420,310
69358,420,310
69374,420,310
69391,419,309
69391,419,309
69408,418,309
69425,418,308
69425,418,308
69441,417,308
69441,417,308
69458,416,308
69474,416,307
69474,416,307
69491,415,307
69491,415,307
69508,414,306
69508,414,306
69524,414,306
69541,413,306
69541,413,306
69558,412,306
69574,411,305
69574,411,305
69591.00000000001,411,305
69591.00000000001,411,305
69608,410,305
69625,410,305
69625,410,305
69641,409,305
69641,409,305
69658,409,305
69674,408,305
69674,408,305
69691,407,305
69691,407,305
69708,406,305
69708,406,305
69724,406,305
69741,405,305
69741,405,305
69758,404,305
69774,403,305
69774,403,305
69791,403,305
69791,403,305
69808,402,306
69808,402,306
69824,401,306
69824,401,306
69841.00000000001,401,306
69858,400,306
69858,400,306
69874,399,307
69874,399,307
69891,398,307
69891,398,307
69908,398,307
69908,398,307
69924,397,308
69924,397,308
69941,396,308
69941,396,308
69958,396,308
69974,395,309
69974,395,309
69991,394,309
69991,394,309
70008,394,310
70008,394,310
70024,393,310
70024,393,310
70041,393,311
70041,393,311
70058,392,312
70058,392,312
70074,391,312
70091.00000000001,391,313
70091.00000000001,391,313
70108,390,313
70124,390,314
70124,390,314
70141,390,315
70141,390,315
70158,389,315
70158,389,315
70174,389,315
70191,389,316
70191,389,316
70208,388,317
70208,388,317
70224,388,317
70241,388,318
70241,388,318
70258,387,319
70258,387,319
70274,387,319
70291,387,320
70291,387,320
70308,387,321
70308,387,321
70324,386,321
70324,386,321
70341.00000000001,386,322
70341.00000000001,386,322
70358,386,322
70374,386,322
70391,386,323
70391,386,323
70408,386,324
70408,386,324
70424,386,324
70441,386,325
70441,386,325
70458,386,325
70474,386,326
70474,386,326
70491,386,326
70508,386,327
70508,386,327
70524,386,328
70524,386,328
70541,386,328
70558,386,328
