timestamp_ms,x,y
12116841,354,246
12116854,354,246
12116871.000000002,354,246
12116888,354,246
12116888,354,246
12116905,354,246
12116922,354,246
12116938,354,246
12116955,354,246
12116972,354,246
12116988,354,247
12116988,354,247
12117005.000000002,354,248
12117005.000000002,354,248
12117022,354,249
12117022,354,249
12117039,354,251
12117039,354,251
12117055,354,252
12117055,354,252
12117072,354,253
12117072,354,253
12117089,354,254
12117089,354,254
12117105,354,255
12117105,354,255
12117122,353,256
12117122,353,256
12117138,353,256
12117138,353,256
12117155,352,257
12117155,352,257
12117172,351,257
12117172,351,257
12117188,350,257
12117188,350,257
12117205,349,257
12117205,349,257
12117222,347,257
12117222,347,257
12117238,346,256
12117238,346,256
12117255.000000002,345,255
12117255.000000002,345,255
12117272,344,254
12117272,344,254
12117288,344,253
12117288,344,253
12117305,344,252
12117305,344,252
12117322,343,250
12117322,343,250
12117338,343,249
12117338,343,249
12117355,343,247
12117355,343,247
12117372,343,246
12117372,343,246
12117388,343,244
12117388,343,244
12117405,343,243
12117405,343,243
12117422,343,242
12117422,343,242
12117438,343,240
12117438,343,240
12117455,344,239
12117455,344,239
12117472,344,238
12117472,344,238
12117488,344,236
12117488,344,236
12117505.000000002,345,236
12117522,345,235
12117522,345,235
12117538,346,235
12117555,347,234
12117555,347,234
12117571,348,234
12117572,348,234
12117588,348,234
12117588,348,234
12117605,349,233
12117605,349,233
12117622,350,233
12117622,350,233
12117638,351,233
12117638,351,233
12117655,352,233
12117655,352,233
12117672,353,233
12117688,354,233
12117688,354,233
12117705,355,233
12117722,356,233
12117722,356,233
12117738,357,233
12117738,357,233
12117755.000000002,358,233
12117772,359,233
12117772,359,233
12117789,360,234
12117789,360,234
12117805,361,234
12117805,361,234
12117822,361,235
12117822,361,235
12117838,362,235
12117855,362,236
12117855,362,236
12117872,363,237
12117872,363,237
12117888,363,239
12117888,363,239
12117905,364,240
12117905,364,240
12117922,365,241
12117922,365,241
12117938,366,242
12117938,366,242
12117955,366,243
12117955,366,243
12117972,367,244
12117972,367,244
12117988,367,246
12117988,367,246
12118005.000000002,367,247
12118005.000000002,367,247
12118022,368,249
12118022,368,249
12118038,368,250
12118038,368,250
12118055,368,251
12118055,368,251
12118072,368,253
12118072,368,253
12118088,368,254
12118088,368,254
12118105,368,255
12118105,368,255
12118122,368,256
12118122,368,256
12118138,368,258
12118138,368,258
12118155,367,258
12118171,367,260
12118172,367,260
12118188,366,261
12118188,366,261
12118205,366,262
12118205,366,262
12118221,365,262
12118222,365,262
12118238,364,263
12118238,364,263
12118255.000000002,363,264
12118255.000000002,363,264
12118272,362,265
12118272,362,265
12118288,361,266
12118288,361,266
12118305,360,267
12118305,360,267
12118322,358,267
12118322,358,267
12118338,358,268
12118338,358,268
12118355,355,268
12118355,355,268
12118372,353,268
12118372,353,268
12118389.000000002,352,269
12118389.000000002,352,269
12118405,350,269
12118405,350,269
12118422,348,269
12118422,348,269
12118439,346,269
12118439,346,269
12118455,344,268
12118455,344,268
12118472,342,268
12118472,342,268
12118488,340,267
12118488,340,267
12118505.000000002,339,267
12118505.000000002,339,267
12118522,337,266
12118522,337,266
12118538,335,265
12118538,335,265
12118555,334,263
12118555,334,263
12118571,332,261
12118572,332,261
12118588,331,258
12118588,331,258
12118605,330,257
12118605,330,257
12118621.000000002,329,254
12118622,329,254
12118638,329,253
12118638,329,253
12118655,328,251
12118655,328,251
12118671,328,250
12118672,328,250
12118688,328,248
12118688,328,248
12118705,328,247
12118705,328,247
12118721,328,246
12118722,328,246
