timestamp_ms,x,y
12006015,348,236
12006028,349,235
12006029,349,235
12006045,349,235
12006062,349,235
12006079,349,235
12006095,349,234
12006096,349,234
12006112.000000002,350,233
12006112.000000002,350,233
12006129,350,233
12006146,350,232
12006146,350,232
12006162,351,232
12006179,351,231
12006179,351,231
12006196,351,231
12006212,352,232
12006212,352,232
12006229,352,233
12006229,352,233
12006245,353,235
12006246.000000002,353,235
12006262,353,235
12006278,353,236
12006279,353,236
12006295,353,237
12006295,353,237
12006312,354,237
12006312,354,237
12006328,355,235
12006329,355,235
12006345,356,234
12006345,356,234
12006362.000000002,357,232
12006362.000000002,357,232
12006378,358,231
12006378,358,231
12006395,359,230
12006395,359,230
12006412,359,230
12006412,359,230
12006428,359,229
12006428,359,229
12006445,360,229
12006462,360,230
12006462,360,230
12006478.000000002,360,231
12006478.000000002,360,231
12006495,360,232
12006495,360,232
12006512,360,234
12006512,360,234
12006528,360,235
12006529,360,235
12006545,361,237
12006545,361,237
12006562,361,238
12006562,361,238
12006578,362,239
12006578,362,239
12006595,362,240
12006595,362,240
12006613,363,240
12006613,363,240
12006628,364,239
12006629,364,239
12006645,365,238
12006645,365,238
12006662,366,236
12006662,366,236
12006678,366,236
12006678,366,236
12006696,367,235
12006696,367,235
12006712,367,235
12006728.000000002,367,235
12006728.000000002,367,235
12006745,367,235
12006761,368,236
12006762,368,236
12006778,368,238
12006778,368,238
12006795,368,239
12006795,368,239
12006812,369,242
12006812,369,242
12006828,369,244
12006828,369,244
12006845,370,246
12006845,370,246
12006862.000000002,370,247
12006862.000000002,370,247
12006879,371,248
12006879,371,248
12006895,371,248
12006912,371,248
12006928,371,247
12006928,371,247
12006945,370,247
12006961.000000002,370,246
12006961.000000002,370,246
12006979,370,246
12006995,370,245
12006995,370,245
12007012,370,245
12007028,370,245
12007045,371,246
12007045,371,246
12007061,371,247
12007062,371,247
12007078,372,249
12007078,372,249
12007095,373,251
12007095,373,251
12007112.000000002,373,253
12007112.000000002,373,253
12007129,373,255
12007129,373,255
12007145,373,257
12007145,373,257
12007162,373,258
12007162,373,258
12007178,372,258
12007195,371,258
12007195,371,258
12007211.000000002,370,259
12007212,370,259
12007228.000000002,369,259
12007228.000000002,369,259
12007245,368,258
12007245,368,258
12007261,367,258
12007261,367,258
12007278,367,258
12007295,367,257
12007295,367,257
12007311,367,257
12007328,367,257
12007345,367,257
12007345,367,257
12007362.000000002,367,258
12007362.000000002,367,258
12007378,368,259
12007379,368,259
12007395,368,260
12007395,368,260
12007412,368,261
12007412,368,261
12007428,367,262
12007428,367,262
12007445,366,264
12007445,366,264
12007462,364,265
12007462,364,265
