timestamp_ms,x,y
10738250,374,271
10738262,374,271
10738280,374,271
10738330,374,271
10738346,374,271
10738363,374,271
10738380.000000002,374,271
10738396,374,271
10738413,374,271
10738430,374,271
10738446,374,271
10738463,374,271
10738480,374,271
10738496.000000002,374,271
10738513,374,271
10738530,374,271
10738547,374,271
10738563,375,271
10738563,375,271
10738580,376,271
10738580,376,271
10738596,376,271
10738613,377,271
10738613,377,271
10738630.000000002,378,271
10738630.000000002,378,271
10738646,379,270
10738647,379,270
10738663,380,269
10738663,380,269
10738680,380,268
10738680,380,268
10738697,380,268
10738713,381,267
10738713,381,267
10738730,381,267
10738747,381,266
10738747,381,266
10738763,381,265
10738763,381,265
10738780,382,264
10738780,382,264
10738796,382,263
10738797,382,263
10738813,382,262
10738813,382,262
10738830,382,261
10738830,382,261
10738846,382,260
10738846,382,260
10738863,382,259
10738863,382,259
10738880.000000002,382,258
10738880.000000002,382,258
10738896,382,257
10738896,382,257
10738913,382,256
10738913,382,256
10738930,382,255
10738930,382,255
10738946,382,253
10738946,382,253
10738963,382,253
10738980,382,251
10738980,382,251
10738996.000000002,381,250
10738996.000000002,381,250
10739013,381,249
10739013,381,249
10739030,380,249
10739030,380,249
10739046,380,248
10739046,380,248
10739063,379,246
10739063,379,246
10739080,378,245
10739080,378,245
10739096,377,244
10739096,377,244
10739113,376,243
10739113,376,243
10739130.000000002,376,242
10739130.000000002,376,242
10739146,374,241
10739146,374,241
10739163,373,241
10739163,373,241
10739179,371,240
10739180,371,240
10739196,370,240
10739196,370,240
10739213,369,239
10739213,369,239
10739230,368,239
10739230,368,239
10739246.000000002,367,239
10739246.000000002,367,239
10739263,365,239
10739263,365,239
10739280,364,239
10739280,364,239
10739296,362,239
10739296,362,239
10739313,362,238
10739313,362,238
10739330,360,238
10739330,360,238
10739346,359,238
10739346,359,238
10739363,358,238
10739363,358,238
10739379,356,238
10739380.000000002,356,238
10739396,354,238
10739396,354,238
10739413,353,238
10739413,353,238
10739430,351,238
10739430,351,238
10739446,349,238
10739446,349,238
10739463,348,239
10739463,348,239
10739480,346,239
10739480,346,239
10739496.000000002,345,240
10739496.000000002,345,240
10739513,344,240
10739513,344,240
10739530,342,240
10739530,342,240
10739546,340,241
10739546,340,241
10739563,339,241
10739563,339,241
10739579,338,242
10739580,338,242
10739596,337,243
10739597,337,243
10739613,335,244
10739613,335,244
10739630.000000002,334,244
10739630.000000002,334,244
10739646,333,245
10739646,333,245
10739663,331,245
10739663,331,245
10739680,330,246
10739680,330,246
10739696,329,248
10739696,329,248
10739713,328,249
10739713,328,249
10739730,326,249
10739730,326,249
10739746.000000002,326,251
10739747,326,251
10739763,325,252
10739763,325,252
10739779,324,253
10739780,324,253
10739796,323,255
10739796,323,255
10739813,322,256
10739813,322,256
10739829,321,258
10739830,321,258
10739846,321,259
10739846,321,259
10739863,320,261
10739863,320,261
10739879,319,262
10739880.000000002,319,262
10739896,318,264
10739897,318,264
10739913,317,265
10739913,317,265
10739929,317,267
10739930,317,267
10739946,316,268
10739946,316,268
10739963,315,270
10739963,315,270
10739979,315,271
10739980,315,271
10739996.000000002,314,273
10739996.000000002,314,273
10740013,313,275
10740013,313,275
10740029,313,276
10740030,313,276
10740046,312,278
10740046,312,278
10740063,312,280
10740063,312,280
10740079,311,282
10740079,311,282
10740096,310,284
10740096,310,284
10740113,310,285
10740113,310,285
10740129,309,288
10740130.000000002,309,288
10740146,309,290
10740146,309,290
10740163,309,291
10740163,309,291
10740179,309,294
10740180,309,294
10740196,309,295
10740197,309,295
10740213,309,297
10740213,309,297
10740229,310,299
10740230,310,299
10740246.000000002,310,300
10740246.000000002,310,300
10740264.000000002,310,302
10740264.000000002,310,302
10740279,311,304
10740280,311,304
10740296,312,306
10740296,312,306
10740313,312,308
10740313,312,308
10740330,313,309
10740330,313,309
10740346,314,311
10740346,314,311
10740363,315,313
10740363,315,313
10740380.000000002,316,315
10740380.000000002,316,315
10740396,317,317
10740396,317,317
10740413,317,318
10740413,317,318
10740429,318,320
10740430,318,320
10740446,319,321
10740446,319,321
10740463,320,322
