timestamp_ms,x,y
9922388,374,307
9922417,374,307
9922434.000000002,374,307
9922450,374,307
9922467,374,307
9922484,374,307
9922500,374,307
9922517,374,307
9922534,374,307
9922550.000000002,373,307
9922550.000000002,373,307
9922567,373,307
9922584,373,307
9922600,373,306
9922601,373,306
9922617,373,306
9922633,373,306
9922650,373,306
9922666.000000002,373,305
9922667,373,305
9922684.000000002,373,304
9922684.000000002,373,304
9922700,373,303
9922700,373,303
9922716,373,302
9922717,373,302
9922733,373,301
9922733,373,301
9922750,373,299
9922750,373,299
9922766,374,298
9922766,374,298
9922783,375,297
9922783,375,297
9922800.000000002,376,295
9922800.000000002,376,295
9922816,376,294
9922816,376,294
9922833,377,293
9922833,377,293
9922850,379,292
9922850,379,292
9922867,380,291
9922867,380,291
9922883,381,290
9922883,381,290
9922900,382,290
9922900,382,290
9922916.000000002,383,289
9922916.000000002,383,289
9922933,384,289
9922933,384,289
9922950,385,289
9922950,385,289
9922966,387,289
9922966,387,289
9922983,389,289
9922983,389,289
9923000,390,289
9923000,390,289
9923017,392,289
9923017,392,289
9923034,394,289
9923034,394,289
9923050.000000002,395,289
9923050.000000002,395,289
9923067,397,290
9923067,397,290
9923083,398,290
9923084,398,290
9923100,400,291
9923100,400,291
9923117,401,292
9923117,401,292
9923134,402,293
9923134,402,293
9923150,403,294
9923150,403,294
9923167,403,296
9923167,403,296
9923184.000000002,403,298
9923184.000000002,403,298
9923200,403,299
9923200,403,299
9923217,403,301
9923217,403,301
9923233,403,303
9923234,403,303
9923250,403,305
9923250,403,305
9923267,403,307
9923267,403,307
9923284,403,309
9923284,403,309
9923300.000000002,403,311
9923300.000000002,403,311
9923317,403,313
9923317,403,313
9923333,402,315
9923334,402,315
9923350,402,317
9923350,402,317
9923367,401,319
9923367,401,319
9923384,400,321
9923384,400,321
9923400,398,324
9923400,398,324
9923417,397,326
9923417,397,326
9923434.000000002,395,328
9923434.000000002,395,328
9923450,394,330
9923450,394,330
9923467,391,331
9923467,391,331
9923484,389,333
9923484,389,333
9923500,387,335
9923500,387,335
9923517,385,335
9923517,385,335
9923533,384,336
9923534,384,336
9923550.000000002,383,336
9923550.000000002,383,336
9923567,381,336
9923567,381,336
9923584,380,336
9923584,380,336
9923600,378,336
9923600,378,336
9923617,376,336
9923617,376,336
9923634,374,336
9923634,374,336
9923650,373,336
9923650,373,336
9923667,371,335
9923667,371,335
9923684.000000002,370,334
9923684.000000002,370,334
9923700,368,333
9923700,368,333
9923717,367,332
9923717,367,332
9923734,365,331
9923734,365,331
9923750,364,330
9923750,364,330
9923767,363,328
9923767,363,328
9923783,363,327
9923784,363,327
9923800.000000002,362,326
9923800.000000002,362,326
9923817,362,324
9923817,362,324
9923834,362,322
9923834,362,322
9923850,362,321
9923850,362,321
9923867,361,320
9923867,361,320
9923883,361,318
9923884,361,318
9923900,361,317
9923900,361,317
9923917,361,315
9923917,361,315
9923933,361,314
9923934.000000002,361,314
9923950,361,312
9923950,361,312
9923967,361,311
9923967,361,311
9923983,361,310
9923983,361,310
9924000,361,308
9924000,361,308
9924017,362,307
9924017,362,307
9924033,362,305
9924034,362,305
9924050.000000002,362,304
9924051,362,304
9924067,362,303
9924067,362,303
9924083,363,301
9924084,363,301
9924100,363,300
9924100,363,300
9924117,364,299
9924117,364,299
9924133,364,298
9924133,364,298
9924150,365,297
9924150,365,297
9924167,366,295
9924167,366,295
9924183,366,294
9924184.000000002,366,294
9924200,367,292
9924201,367,292
9924217,368,291
9924217,368,291
9924233,369,290
9924233,369,290
9924250,370,289
9924250,370,289
9924267,371,288
9924267,371,288
9924283,372,286
9924283,372,286
9924300.000000002,373,285
9924300.000000002,373,285
9924317,374,285
9924317,374,285
9924334,376,284
9924334,376,284
9924350,377,284
9924350,377,284
9924367,378,283
9924367,378,283
9924383,380,282
9924383,380,282
9924400,381,281
9924400,381,281
9924417,383,281
9924417,383,281
9924433,385,280
9924434.000000002,385,280
9924450,386,280
9924450,386,280
9924467,388,279
9924467,388,279
9924483,390,279
9924483,390,279
9924500,392,279
9924500,392,279
9924517,394,278
9924517,394,278
9924533,396,278
9924534,396,278
9924550.000000002,398,278
9924550.000000002,398,278
9924567,399,278
9924567,399,278
9924583,401,279
9924583,401,279
9924600,403,279
9924600,403,279
9924617,405,280
9924617,405,280
9924633,407,280
9924633,407,280
9924650,408,281
9924650,408,281
9924667,410,281
9924667,410,281
9924684.000000002,412,282
9924684.000000002,412,282
9924700,413,283
9924700,413,283
9924718,415,284
9924718,415,284
9924733,417,285
9924733,417,285
9924750,418,286
9924750,418,286
9924767,420,288
9924767,420,288
9924783,421,289
9924784,421,289
9924800.000000002,421,291
9924800.000000002,421,291
9924817,422,293
9924817,422,293
9924833,423,295
9924833,423,295
9924850,423,297
9924850,423,297
9924867,424,300
9924867,424,300
9924883,425,303
9924883,425,303
9924900,425,305
9924900,425,305
9924917,425,308
9924917,425,308
9924933,426,311
9924933,426,311
9924950,426,314
9924951,426,314
9924967,426,317
9924967,426,317
9924983,427,320
9924983,427,320
9925000,427,323
9925000,427,323
9925017,427,326
9925017,427,326
9925033,426,329
9925033,426,329
9925050.000000002,426,332
9925050.000000002,426,332
9925067,425,335
9925067,425,335
9925083,425,339
9925083,425,339
9925100,424,341
9925100,424,341
9925117,422,344
9925117,422,344
9925133,421,346
9925133,421,346
9925150,420,348
9925150,420,348
9925167,419,350
9925167,419,350
9925183,417,352
9925184.000000002,417,352
9925200,416,353
9925200,416,353
9925217,414,355
9925217,414,355
9925233,412,357
9925234,412,357
9925250,410,358
9925250,410,358
9925267,407,359
9925267,407,359
9925283,405,360
9925283,405,360
