timestamp_ms,x,y
9922388.0,0,0
9922550.000000002,-1,0
9922600.0,-1,-1
9922666.000000002,-1,-2
9922684.000000002,-1,-3
9922700.0,-1,-4
9922716.0,-1,-5
9922733.0,-1,-6
9922750.0,-1,-8
9922766.0,0,-9
9922783.0,1,-10
9922800.000000002,2,-12
9922816.0,2,-13
9922833.0,3,-14
9922850.0,5,-15
9922867.0,6,-16
9922883.0,7,-17
9922900.0,8,-17
9922916.000000002,9,-18
9922933.0,10,-18
9922950.0,11,-18
9922966.0,13,-18
9922983.0,15,-18
9923000.0,16,-18
9923017.0,18,-18
9923034.0,20,-18
9923050.000000002,21,-18
9923067.0,23,-17
9923083.0,24,-17
9923100.0,26,-16
9923117.0,27,-15
9923134.0,28,-14
9923150.0,29,-13
9923167.0,29,-11
9923184.000000002,29,-9
9923200.0,29,-8
9923217.0,29,-6
9923233.0,29,-4
9923250.0,29,-2
9923267.0,29,0
9923284.0,29,2
9923300.000000002,29,4
9923317.0,29,6
9923333.0,28,8
9923350.0,28,10
9923367.0,27,12
9923384.0,26,14
9923400.0,24,17
9923417.0,23,19
9923434.000000002,21,21
9923450.0,20,23
9923467.0,17,24
9923484.0,15,26
9923500.0,13,28
9923517.0,11,28
9923533.0,10,29
9923550.000000002,9,29
9923567.0,7,29
9923584.0,6,29
9923600.0,4,29
9923617.0,2,29
9923634.0,0,29
9923650.0,-1,29
9923667.0,-3,28
9923684.000000002,-4,27
9923700.0,-6,26
9923717.0,-7,25
9923734.0,-9,24
9923750.0,-10,23
9923767.0,-11,21
9923783.0,-11,20
9923800.000000002,-12,19
9923817.0,-12,17
9923834.0,-12,15
9923850.0,-12,14
9923867.0,-13,13
9923883.0,-13,11
9923900.0,-13,10
9923917.0,-13,8
9923933.0,-13,7
9923950.0,-13,5
9923967.0,-13,4
9923983.0,-13,3
9924000.0,-13,1
9924017.0,-12,0
9924033.0,-12,-2
9924050.000000002,-12,-3
9924067.0,-12,-4
9924083.0,-11,-6
9924100.0,-11,-7
9924117.0,-10,-8
9924133.0,-10,-9
9924150.0,-9,-10
9924167.0,-8,-12
9924183.0,-8,-13
9924200.0,-7,-15
9924217.0,-6,-16
9924233.0,-5,-17
9924250.0,-4,-18
9924267.0,-3,-19
9924283.0,-2,-21
9924300.000000002,-1,-22
9924317.0,0,-22
9924334.0,2,-23
9924350.0,3,-23
9924367.0,4,-24
9924383.0,6,-25
9924400.0,7,-26
9924417.0,9,-26
9924433.0,11,-27
9924450.0,12,-27
9924467.0,14,-28
9924483.0,16,-28
9924500.0,18,-28
9924517.0,20,-29
9924533.0,22,-29
9924550.000000002,24,-29
9924567.0,25,-29
9924583.0,27,-28
9924600.0,29,-28
9924617.0,31,-27
9924633.0,33,-27
9924650.0,34,-26
9924667.0,36,-26
9924684.000000002,38,-25
9924700.0,39,-24
9924718.0,41,-23
9924733.0,43,-22
9924750.0,44,-21
9924767.0,46,-19
9924783.0,47,-18
9924800.000000002,47,-16
9924817.0,48,-14
9924833.0,49,-12
9924850.0,49,-10
9924867.0,50,-7
9924883.0,51,-4
9924900.0,51,-2
9924917.0,51,1
9924933.0,52,4
9924950.0,52,7
9924967.0,52,10
9924983.0,53,13
9925000.0,53,16
9925017.0,53,19
9925033.0,52,22
9925050.000000002,52,25
9925067.0,51,28
9925083.0,51,32
9925100.0,50,34
9925117.0,48,37
9925133.0,47,39
9925150.0,46,41
9925167.0,45,43
9925183.0,43,45
9925200.0,42,46
9925217.0,40,48
9925233.0,38,50
9925250.0,36,51
9925267.0,33,52
9925283.0,31,53
9925300.000000002,29,54
9925317.0,26,55
9925333.0,24,56
9925350.0,21,56
9925367.0,19,57
9925384.0,16,57
9925400.0,13,57
9925417.0,10,58
9925433.0,6,58
9925450.0,4,58
9925467.0,1,58
9925483.0,-2,57
9925500.0,-4,57
9925517.0,-7,56
9925533.0,-11,55
9925550.000000002,-13,55
9925567.0,-15,54
9925583.0,-17,52
9925600.0,-19,51
9925617.0,-22,49
9925633.0,-24,47
9925650.0,-26,46
9925667.0,-28,44
9925683.0,-29,41
9925700.0,-30,39
9925717.0,-32,37
9925733.0,-34,33
9925750.0,-35,31
9925767.0,-36,28
9925783.0,-37,26
9925800.000000002,-37,23
9925817.0,-38,20
9925833.0,-38,18
9925850.0,-38,15
9925867.0,-38,12
9925883.0,-38,10
9925900.0,-37,8
9925917.0,-36,5
9925933.0,-36,3
9925950.0,-35,1
9925967.0,-34,-1
9925984.0,-33,-2
9926000.0,-32,-4
9926017.0,-31,-6
9926033.0,-30,-8
9926050.000000002,-29,-9
9926067.0,-27,-11
9926083.0,-26,-12
9926100.0,-25,-13
9926117.0,-24,-14
9926133.0,-22,-16
9926150.0,-21,-17
9926167.0,-20,-18
9926183.0,-19,-19
9926200.0,-17,-21
9926217.0,-16,-22
9926233.0,-15,-23
9926250.0,-13,-24
9926267.0,-12,-25
9926283.0,-11,-26
9926300.000000002,-9,-26
9926317.0,-8,-27
9926333.0,-7,-28
9926350.0,-6,-29
9926367.0,-4,-30
9926383.0,-3,-31
9926400.0,-1,-31
9926417.0,1,-32
9926435.0,2,-33
9926450.0,4,-34
9926467.0,6,-34
9926483.0,7,-35
9926500.0,9,-35
9926517.0,10,-36
9926533.0,12,-36
9926550.000000002,13,-36
9926567.0,15,-37
9926584.0,17,-37
9926600.0,19,-37
9926617.0,20,-37
9926633.0,22,-37
9926650.0,24,-37
9926667.0,27,-38
9926683.0,29,-38
9926700.0,31,-38
9926717.0,33,-38
9926733.0,35,-38
9926750.0,37,-38
9926767.0,39,-38
9926783.0,42,-37
9926800.000000002,45,-37
9926817.0,47,-36
9926833.0,49,-36
9926850.0,51,-36
9926867.0,53,-35
9926883.0,56,-34
9926900.0,57,-33
9926917.0,60,-32
9926933.0,61,-31
9926950.0,63,-30
9926967.0,65,-28
9926983.0,67,-26
9927000.0,69,-25
9927017.0,70,-23
9927033.0,72,-21
