Total hyperparameter combinations to try: 144
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 0.0, 'hidden_dim1': 256, 'hidden_dim2': 64, 'batch_size': 32, 'latent_dim': 64} with Val Loss: 1.4607
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 0.0, 'hidden_dim1': 256, 'hidden_dim2': 64, 'batch_size': 64, 'latent_dim': 64} with Val Loss: 1.1435
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 0.0, 'hidden_dim1': 256, 'hidden_dim2': 128, 'batch_size': 64, 'latent_dim': 128} with Val Loss: 0.8897
Combination 10/144: {'learning_rate': 0.01, 'weight_decay': 0.0, 'hidden_dim1': 512, 'hidden_dim2': 64, 'batch_size': 32, 'latent_dim': 128}
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 0.0, 'hidden_dim1': 512, 'hidden_dim2': 64, 'batch_size': 32, 'latent_dim': 128} with Val Loss: 0.8531
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 0.0, 'hidden_dim1': 512, 'hidden_dim2': 128, 'batch_size': 32, 'latent_dim': 128} with Val Loss: 0.7918
Combination 20/144: {'learning_rate': 0.01, 'weight_decay': 1e-05, 'hidden_dim1': 256, 'hidden_dim2': 64, 'batch_size': 64, 'latent_dim': 128}
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 1e-05, 'hidden_dim1': 256, 'hidden_dim2': 128, 'batch_size': 64, 'latent_dim': 128} with Val Loss: 0.7554
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 1e-05, 'hidden_dim1': 512, 'hidden_dim2': 64, 'batch_size': 32, 'latent_dim': 128} with Val Loss: 0.6978
Combination 30/144: {'learning_rate': 0.01, 'weight_decay': 1e-05, 'hidden_dim1': 512, 'hidden_dim2': 128, 'batch_size': 32, 'latent_dim': 128}
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 0.0001, 'hidden_dim1': 256, 'hidden_dim2': 64, 'batch_size': 32, 'latent_dim': 128} with Val Loss: 0.6182
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 0.0001, 'hidden_dim1': 256, 'hidden_dim2': 64, 'batch_size': 64, 'latent_dim': 128} with Val Loss: 0.5756
New best hyperparameters found: {'learning_rate': 0.01, 'weight_decay': 0.0001, 'hidden_dim1': 256, 'hidden_dim2': 128, 'batch_size': 64, 'latent_dim': 64} with Val Loss: 0.5095
Combination 40/144: {'learning_rate': 0.01, 'weight_decay': 0.0001, 'hidden_dim1': 256, 'hidden_dim2': 128, 'batch_size': 64, 'latent_dim': 128}
New best hyperparameters found: {'learning_rate': 0.001, 'weight_decay': 0.0, 'hidden_dim1': 256, 'hidden_dim2': 64, 'batch_size': 32, 'latent_dim': 64} with Val Loss: 0.4145
Combination 50/144: {'learning_rate': 0.001, 'weight_decay': 0.0, 'hidden_dim1': 256, 'hidden_dim2': 64, 'batch_size': 32, 'latent_dim': 128}
